Code,Constituent Name
1,CKH HOLDINGS
2,CLP HOLDINGS
3,HK & CHINA GAS
4,WHARF HOLDINGS
5,HSBC HOLDINGS
6,POWER ASSETS
8,PCCW
11,HANG SENG BANK
12,HENDERSON LAND
13,HUTCHMED
14,HYSAN DEV
16,SHK PPT
17,NEW WORLD DEV
19,SWIRE PACIFIC A
20,SENSETIME - W
23,BANK OF E ASIA
27,GALAXY ENT
59,SKYFAME REALTY
66,MTR CORPORATION
81,CH OVS G OCEANS
83,SINO LAND
86,SUN HUNG KAI CO
95,LVGEM CHINA
101,HANG LUNG PPT
116,CHOW SANG SANG
119,POLY PROPERTY
123,YUEXIU PROPERTY
135,KUNLUN ENERGY
136,CHINA RUYI
142,FIRST PACIFIC
144,CHINA MER PORT
148,KINGBOARD HLDG
151,WANT WANT CHINA
152,SHENZHEN INT'L
165,CHINA EB LTD
168,TSINGTAO BREW
173,K. WAH INT'L
175,GEELY AUTO
177,JIANGSU EXPRESS
179,JOHNSON ELEC H
185,ZENSUN ENT
189,DONGYUE GROUP
200,MELCO INT'L DEV
215,HUTCHTEL HK
220,U-PRESID CHINA
241,ALI HEALTH
242,SHUN TAK HOLD
256,CITYCHAMP
257,EB ENVIRONMENT
267,CITIC
268,KINGDEE INT'L
270,GUANGDONG INV
272,SHUI ON LAND
285,BYD ELECTRONIC
288,WH GROUP
291,CHINA RES BEER
293,CATHAY PAC AIR
297,SINOFERT
302,CMGE
303,VTECH HOLDINGS
308,CHINA TRAVEL HK
316,OOIL
322,TINGYI
327,PAX GLOBAL
336,HUABAO INTL
337,GREENLAND HK
338,SHANGHAI PECHEM
341,CAFE DE CORAL H
345,VITASOY INT'L
354,CHINASOFT INT'L
358,JIANGXI COPPER
363,SHANGHAI IND H
371,BJ ENT WATER
384,CHINA GAS HOLD
386,SINOPEC CORP
388,HKEX
390,CHINA RAILWAY
392,BEIJING ENT
405,YUEXIU REIT
410,SOHO CHINA
425,MINTH GROUP
440,DAH SING
460,SIHUAN PHARM
467,UNITEDENERGY GP
486,RUSAL
489,DONGFENG GROUP
493,GOME RETAIL
506,CHINA FOODS
512,GRAND PHARMA
520,XIABUXIABU
522,ASMPT
535,GEMDALE PPT
546,FUFENG GROUP
551,YUE YUEN IND
552,CHINACOMSERVICE
558,LK TECH
570,TRAD CHI MED
576,ZHEJIANGEXPRESS
581,CHINA ORIENTAL
586,CONCH VENTURE
587,CONCH ENVIRO
590,LUK FOOK HOLD
604,SHENZHEN INVEST
631,SANY INT'L
636,KERRY LOG NET
639,SHOUGANG RES
650,PRODUCTIVE TECH
656,FOSUN INTL
658,C TRANSMISSION
659,NWS HOLDINGS
665,HAITONG INT'L
667,CHINA EAST EDU
669,TECHTRONIC IND
670,CHINA EAST AIR
683,KERRY PPT
688,CHINA OVERSEAS
694,BEIJING AIRPORT
696,TRAVELSKY TECH
697,SHOUCHENG
700,TENCENT
728,CHINA TELECOM
732,TRULY INT'L
743,ASIA CEMENT CH
751,SKYWORTH GROUP
753,AIR CHINA
754,HOPSON DEV HOLD
762,CHINA UNICOM
763,ZTE
772,CHINA LIT
775,CKLIFE SCIENCES
777,NETDRAGON
778,FORTUNE REIT
780,TONGCHENGTRAVEL
788,CHINA TOWER
799,IGG
806,VALUE PARTNERS
817,CHINA JINMAO
819,TIANNENG POWER
823,LINK REIT
826,TIANGONG INT'L
836,CHINA RES POWER
839,CHINA EDU GROUP
853,MICROPORT
855,CHINA WATER
856,VSTECS
857,PETROCHINA
861,DC HOLDINGS
867,CMS
868,XINYI GLASS
873,SHIMAO SERVICES
880,SJM HOLDINGS
881,ZHONGSHENG HLDG
883,CNOOC
884,CIFI HOLD GP
902,HUANENG POWER
909,MING YUAN CLOUD
914,CONCH CEMENT
916,CHINA LONGYUAN
934,SINOPEC KANTONS
939,CCB
941,CHINA MOBILE
956,CHINA SUNTIEN
960,LONGFOR GROUP
966,CHINA TAIPING
968,XINYI SOLAR
973,L'OCCITANE
981,SMIC
990,THEME INT'L
991,DATANG POWER
992,LENOVO GROUP
998,CITIC BANK
1024,KUAISHOU - W
1030,SEAZEN
1038,CKI HOLDINGS
1044,HENGAN INT'L
1052,YUEXIUTRANSPORT
1055,CHINA SOUTH AIR
1060,ALI PICTURES
1066,WEIGAO GROUP
1070,TCL ELECTRONICS
1083,TG SMART ENERGY
1088,CHINA SHENHUA
1093,CSPC PHARMA
1099,SINOPHARM
1109,CHINA RES LAND
1112,H&H INTL HLDG
1113,CK ASSET
1117,CH MODERN D
1119,IDREAMSKY
1121,GOLDENSOLAR
1128,WYNN MACAU
1137,HK TECH VENTURE
